gender,age,birth_year,race,immigrant_status,marital_status,child_number,age_first_marriage,age_first_childbirth,education,occupation,income,health_work_difficulty,profile_id
Female,19,1960,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Service Occupations,6005.0,Health doesn't affect work,44
Female,25,1954,Hispanic,Non-immigrant,Married,2.0,19.0,20.0,High school,Clerical and Administrative Support Occupations,8085.0,Health doesn't affect work,45
Female,61,1919,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Clerical and Administrative Support Occupations,3005.0,Health doesn't affect work,46
Male,74,1905,Hispanic,Non-immigrant,Married,0.0,20.0,,Less than high school,,2405.0,Health affects work,47
Female,48,1931,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,23.0,,High school,Sales Occupations,5235.0,Health doesn't affect work,48
Male,57,1922,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,24.0,,High school,"Precision Production, Craft, and Repair Occupations",26010.0,Health doesn't affect work,49
Male,30,1949,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,0.0,25.0,,College and above,Service Occupations,17005.0,Health doesn't affect work,50
Female,27,1953,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,,4710.0,Health affects work,51
Male,56,1923,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,25.0,,College and above,Professional Specialty Occupations,36660.0,Health doesn't affect work,52
Male,30,1950,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,24.0,,College and above,Managerial Occupations,15505.0,Health doesn't affect work,53
Male,36,1943,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,26.0,,High school,Managerial Occupations,28005.0,Health doesn't affect work,54
Female,17,1962,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Service Occupations,0.0,Health doesn't affect work,55
Male,15,1964,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,,0.0,Health doesn't affect work,56
