gender,age,birth_year,race,immigrant_status,marital_status,child_number,age_first_marriage,age_first_childbirth,education,occupation,income,health_work_difficulty,profile_id
Female,45,1934,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,25.0,32.0,College and above,Managerial Occupations,22015.0,Health doesn't affect work,193
Male,24,1956,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,22.0,,High school,"Operators, Fabricators, and Laborers",13005.0,Health doesn't affect work,194
Male,60,1919,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,18.0,,Less than high school,"Farming, Forestry, and Fishing Occupations",10005.0,Health affects work,195
Female,32,1947,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,0.0,25.0,,College and above,"Operators, Fabricators, and Laborers",4555.0,Health doesn't affect work,196
Male,23,1957,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,Sales Occupations,6110.0,Health doesn't affect work,197
Female,54,1925,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,4.0,21.0,25.0,High school,Service Occupations,7735.0,Health doesn't affect work,198
Male,7,1973,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,199
Female,60,1919,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,2.0,22.0,,High school,"Operators, Fabricators, and Laborers",9085.0,Health doesn't affect work,200
Male,9,1971,Black,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,201
Female,31,1948,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,2.0,17.0,,Less than high school,Sales Occupations,6070.0,Health doesn't affect work,202
Female,41,1938,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,3.0,17.0,20.0,High school,Clerical and Administrative Support Occupations,14355.0,Health doesn't affect work,203
Male,33,1946,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,19.0,,High school,"Precision Production, Craft, and Repair Occupations",21005.0,Health doesn't affect work,204
Male,34,1946,"Non-Black, Non-Hispanic",Immigrant,Married,0.0,22.0,24.0,High school,"Precision Production, Craft, and Repair Occupations",40005.0,Health doesn't affect work,205
Male,69,1911,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,25.0,35.0,Less than high school,,5155.0,Health doesn't affect work,206
Female,80,1900,Hispanic,Immigrant,Divorced/widowed,11.0,18.0,,Less than high school,,7010.0,Health doesn't affect work,207
Female,9,1970,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,208
Male,11,1969,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,209
Male,15,1964,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,0.0,Health doesn't affect work,210
Male,38,1941,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,24.0,23.0,College and above,Professional Specialty Occupations,16010.0,Health doesn't affect work,211
Male,78,1901,Black,Non-immigrant,Married,0.0,26.0,,Less than high school,,5510.0,Health doesn't affect work,212
Female,3,1976,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,213
Female,43,1937,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,17.0,31.0,High school,Managerial Occupations,4005.0,Health doesn't affect work,214
Female,10,1969,Hispanic,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,215
Female,77,1902,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,45.0,,College and above,,14140.0,Health doesn't affect work,216
Female,3,1976,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,217
Female,4,1976,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,218
Female,9,1970,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,219
Female,17,1962,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Sales Occupations,165.0,Health doesn't affect work,220
Male,70,1909,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,32.0,,High school,Sales Occupations,10505.0,Health doesn't affect work,221
Male,22,1958,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,"Operators, Fabricators, and Laborers",7655.0,Health doesn't affect work,222
Female,62,1917,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Clerical and Administrative Support Occupations,7370.0,Health doesn't affect work,223
Female,13,1966,Black,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,224
Female,13,1967,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,225
Male,68,1911,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,25.0,,High school,Managerial Occupations,8995.0,Health affects work,226
Female,1,1978,Black,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,227
Female,5,1974,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,228
Male,86,1893,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,0.0,20.0,,Less than high school,,5510.0,Health doesn't affect work,229
Female,58,1921,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,22.0,37.0,College and above,,9010.0,Health doesn't affect work,230
Male,25,1954,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,Sales Occupations,25005.0,Health doesn't affect work,231
Female,22,1957,Black,Non-immigrant,Single,0.0,,18.0,College and above,Clerical and Administrative Support Occupations,8005.0,Health doesn't affect work,232
Male,45,1934,Hispanic,Immigrant,Married,0.0,20.0,22.0,Less than high school,"Operators, Fabricators, and Laborers",6930.0,Health affects work,233
Male,5,1974,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,234
Male,16,1963,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Sales Occupations,0.0,Health doesn't affect work,235
Male,33,1946,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,27.0,32.0,High school,"Precision Production, Craft, and Repair Occupations",10355.0,Health doesn't affect work,236
Male,32,1948,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,22.0,29.0,College and above,Professional Specialty Occupations,20020.0,Health doesn't affect work,237
Female,68,1911,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,21.0,,Less than high school,,2425.0,Health doesn't affect work,238
Male,24,1955,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,"Operators, Fabricators, and Laborers",17505.0,Health doesn't affect work,239
Male,57,1922,Hispanic,Non-immigrant,Married,0.0,25.0,35.0,High school,"Precision Production, Craft, and Repair Occupations",22485.0,Health doesn't affect work,240
Male,55,1924,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,27.0,34.0,High school,Sales Occupations,40410.0,Health doesn't affect work,241
Female,67,1912,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,2.0,15.0,,High school,Clerical and Administrative Support Occupations,7075.0,Health doesn't affect work,242
Male,10,1969,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,243
Male,19,1960,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Sales Occupations,5005.0,Health doesn't affect work,244
Female,33,1947,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,22.0,25.0,College and above,Managerial Occupations,21205.0,Health doesn't affect work,245
Female,8,1971,Black,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,246
Female,21,1958,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,15.0,20.0,High school,Clerical and Administrative Support Occupations,0.0,Health doesn't affect work,247
Male,25,1955,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,Technicians and Related Support Occupations,1505.0,Health doesn't affect work,248
Male,69,1911,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,31.0,39.0,College and above,,14310.0,Health doesn't affect work,249
Male,50,1929,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,20.0,37.0,High school,"Precision Production, Craft, and Repair Occupations",20220.0,Health doesn't affect work,250
Female,11,1969,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,251
Male,61,1918,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,22.0,38.0,High school,"Operators, Fabricators, and Laborers",15440.0,Health doesn't affect work,252
Female,18,1961,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,18.0,,High school,Service Occupations,0.0,Health doesn't affect work,253
Female,40,1939,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,23.0,27.0,College and above,Sales Occupations,16410.0,Health doesn't affect work,254
Male,59,1920,"Non-Black, Non-Hispanic",Immigrant,Married,0.0,36.0,43.0,High school,"Farming, Forestry, and Fishing Occupations",20010.0,Health doesn't affect work,255
Female,62,1917,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,0.0,25.0,,College and above,,6640.0,Health affects work,256
Male,23,1956,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Professional Specialty Occupations,14005.0,Health doesn't affect work,257
Female,29,1950,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,17.0,20.0,High school,Clerical and Administrative Support Occupations,3505.0,Health doesn't affect work,258
Female,62,1917,"Non-Black, Non-Hispanic",Immigrant,Married,2.0,23.0,33.0,High school,Service Occupations,2405.0,Health doesn't affect work,259
Female,22,1958,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,21.0,,High school,Clerical and Administrative Support Occupations,9950.0,Health doesn't affect work,260
Female,42,1937,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,2.0,20.0,21.0,High school,Service Occupations,3005.0,Health doesn't affect work,261
Male,56,1923,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,25.0,,High school,"Precision Production, Craft, and Repair Occupations",14325.0,Health doesn't affect work,262
Female,30,1949,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,23.0,24.0,College and above,Professional Specialty Occupations,8325.0,Health doesn't affect work,263
Female,19,1960,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,18.0,19.0,High school,Clerical and Administrative Support Occupations,6005.0,Health doesn't affect work,264
Female,7,1972,Black,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,265
Male,71,1908,Black,Non-immigrant,Married,0.0,33.0,,Less than high school,Service Occupations,7205.0,Health doesn't affect work,266
Female,5,1975,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,267
Male,5,1974,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,268
Female,38,1941,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,20.0,38.0,College and above,Service Occupations,0.0,Health doesn't affect work,269
Female,43,1936,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,5.0,22.0,23.0,High school,"Operators, Fabricators, and Laborers",4685.0,Health affects work,270
Female,65,1914,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,17.0,,High school,,1830.0,Health doesn't affect work,271
Female,8,1971,Black,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,272
Female,57,1923,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,0.0,19.0,,High school,,3920.0,Health affects work,273
Male,65,1914,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,19.0,,College and above,"Precision Production, Craft, and Repair Occupations",3795.0,Health affects work,274
Female,59,1920,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,36.0,39.0,Less than high school,,0.0,Health doesn't affect work,275
Male,25,1954,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,20.0,21.0,High school,"Operators, Fabricators, and Laborers",23010.0,Health doesn't affect work,276
Female,6,1973,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,277
Female,0,1979,Black,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,278
Female,56,1923,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,17.0,,High school,Clerical and Administrative Support Occupations,23010.0,Health doesn't affect work,279
Female,75,1905,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,12.0,15.0,,Less than high school,Sales Occupations,3360.0,Health affects work,280
Male,19,1961,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,"Operators, Fabricators, and Laborers",1415.0,Health doesn't affect work,281
Female,55,1924,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,23.0,34.0,College and above,,0.0,Health doesn't affect work,282
Male,12,1968,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,283
Male,7,1972,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,284
Female,14,1965,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,285
Female,28,1951,Black,Non-immigrant,Married,0.0,19.0,,College and above,Clerical and Administrative Support Occupations,11450.0,Health doesn't affect work,286
Female,25,1955,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,23.0,,College and above,Clerical and Administrative Support Occupations,2505.0,Health doesn't affect work,287
Male,32,1947,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,0.0,20.0,,High school,"Precision Production, Craft, and Repair Occupations",20005.0,Health doesn't affect work,288
Male,14,1966,Black,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,289
Female,28,1951,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,Professional Specialty Occupations,13310.0,Health doesn't affect work,290
Female,64,1916,"Non-Black, Non-Hispanic",Non-immigrant,Married,4.0,26.0,43.0,High school,Clerical and Administrative Support Occupations,14605.0,Health doesn't affect work,291
Male,4,1975,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,292
Male,6,1973,Black,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,293
Female,61,1918,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,17.0,,High school,,0.0,Health affects work,294
Male,23,1956,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,Sales Occupations,10810.0,Health doesn't affect work,295
Male,74,1905,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,22.0,,Less than high school,,3960.0,Health affects work,296
Male,32,1947,"Non-Black, Non-Hispanic",Immigrant,Married,0.0,28.0,30.0,College and above,Professional Specialty Occupations,5005.0,Health doesn't affect work,297
Female,43,1936,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Service Occupations,5005.0,Health doesn't affect work,298
Male,22,1957,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,18.0,,High school,"Operators, Fabricators, and Laborers",7005.0,Health doesn't affect work,299
Female,5,1974,Black,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,300
Male,27,1953,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,21.0,24.0,High school,"Farming, Forestry, and Fishing Occupations",25005.0,Health doesn't affect work,301
Male,44,1935,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,19.0,26.0,High school,,6005.0,Health doesn't affect work,302
Male,37,1942,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,"Precision Production, Craft, and Repair Occupations",13425.0,Health doesn't affect work,303
Male,19,1960,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,"Precision Production, Craft, and Repair Occupations",5505.0,Health doesn't affect work,304
Male,46,1933,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,24.0,29.0,College and above,Technicians and Related Support Occupations,21640.0,Health doesn't affect work,305
Male,36,1943,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,0.0,33.0,,College and above,"Operators, Fabricators, and Laborers",14805.0,Health doesn't affect work,306
Female,28,1951,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,25.0,26.0,College and above,Service Occupations,0.0,Health doesn't affect work,307
Female,60,1919,Hispanic,Immigrant,Married,8.0,20.0,38.0,Less than high school,,0.0,Health affects work,308
Female,68,1912,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,1.0,18.0,,Less than high school,,2825.0,Health doesn't affect work,309
Female,29,1950,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,Professional Specialty Occupations,3820.0,Health doesn't affect work,310
Female,18,1961,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,,0.0,Health doesn't affect work,311
Male,20,1960,Black,Non-immigrant,Single,0.0,,,High school,Service Occupations,3005.0,Health doesn't affect work,312
Female,4,1975,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,313
Female,44,1936,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,18.0,23.0,High school,,0.0,Health doesn't affect work,314
Male,44,1935,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,"Farming, Forestry, and Fishing Occupations",9005.0,Health doesn't affect work,315
Female,48,1932,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,21.0,30.0,High school,Clerical and Administrative Support Occupations,4305.0,Health doesn't affect work,316
Female,5,1975,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,317
Female,15,1965,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,425.0,Health doesn't affect work,318
Male,7,1972,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,319
Female,0,1979,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,320
Male,6,1974,Hispanic,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,321
Male,72,1907,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,27.0,,Less than high school,"Precision Production, Craft, and Repair Occupations",10125.0,Health doesn't affect work,322
Female,10,1969,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,323
Female,48,1932,"Non-Black, Non-Hispanic",Non-immigrant,Married,4.0,18.0,,High school,,0.0,Health doesn't affect work,324
Female,77,1902,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,,6760.0,Health doesn't affect work,325
Male,69,1910,"Non-Black, Non-Hispanic",Immigrant,Married,0.0,35.0,,High school,Sales Occupations,6780.0,Health doesn't affect work,326
Male,17,1962,Black,Non-immigrant,Single,0.0,,,High school,"Operators, Fabricators, and Laborers",4975.0,Health doesn't affect work,327
Male,75,1904,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,30.0,,High school,,17065.0,Health affects work,328
Male,50,1930,Black,Non-immigrant,Married,0.0,21.0,,High school,"Precision Production, Craft, and Repair Occupations",8005.0,Health doesn't affect work,329
Male,46,1933,Hispanic,Immigrant,Married,0.0,38.0,24.0,College and above,"Farming, Forestry, and Fishing Occupations",4510.0,Health doesn't affect work,330
Male,29,1951,Black,Non-immigrant,Divorced/widowed,0.0,22.0,,College and above,"Operators, Fabricators, and Laborers",4445.0,Health doesn't affect work,331
Female,18,1961,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,"Operators, Fabricators, and Laborers",4105.0,Health doesn't affect work,332
Male,13,1966,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,333
Male,13,1967,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,334
Female,6,1973,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,335
Male,7,1972,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,336
Female,14,1965,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,337
Female,2,1977,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,338
Male,49,1930,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,0.0,19.0,,High school,"Precision Production, Craft, and Repair Occupations",30005.0,Health doesn't affect work,339
Male,23,1956,Black,Non-immigrant,Married,0.0,21.0,13.0,High school,"Operators, Fabricators, and Laborers",5765.0,Health doesn't affect work,340
Female,19,1961,"Non-Black, Non-Hispanic",Non-immigrant,Single,1.0,,18.0,High school,Clerical and Administrative Support Occupations,2005.0,Health doesn't affect work,341
Male,26,1953,Black,Non-immigrant,Single,0.0,,,College and above,Professional Specialty Occupations,3825.0,Health doesn't affect work,342
Female,47,1932,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,,3805.0,Health affects work,343
Male,18,1961,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,0.0,Health doesn't affect work,344
Male,0,1979,Black,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,345
Female,15,1964,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,,0.0,Health doesn't affect work,346
Male,49,1930,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,18.0,31.0,College and above,"Precision Production, Craft, and Repair Occupations",36005.0,Health doesn't affect work,347
Female,79,1900,"Non-Black, Non-Hispanic",Immigrant,Married,0.0,48.0,,High school,,2460.0,Health affects work,348
Female,19,1960,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Clerical and Administrative Support Occupations,0.0,Health doesn't affect work,349
Male,26,1953,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,24.0,26.0,College and above,Managerial Occupations,17810.0,Health doesn't affect work,350
Male,42,1937,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,24.0,25.0,High school,Clerical and Administrative Support Occupations,19020.0,Health doesn't affect work,351
Female,53,1927,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,23.0,,High school,Clerical and Administrative Support Occupations,9880.0,Health doesn't affect work,352
Female,23,1957,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,18.0,22.0,High school,Clerical and Administrative Support Occupations,0.0,Health doesn't affect work,353
Male,60,1919,Black,Non-immigrant,Divorced/widowed,0.0,21.0,,Less than high school,"Operators, Fabricators, and Laborers",10005.0,Health doesn't affect work,354
Male,27,1952,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,0.0,16.0,,High school,"Precision Production, Craft, and Repair Occupations",18695.0,Health doesn't affect work,355
Male,0,1979,Black,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,356
Male,56,1923,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,23.0,,High school,"Operators, Fabricators, and Laborers",28290.0,Health doesn't affect work,357
Male,34,1945,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,23.0,26.0,College and above,Managerial Occupations,32790.0,Health doesn't affect work,358
Female,33,1946,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,15.0,21.0,College and above,,0.0,Health doesn't affect work,359
Male,39,1941,Black,Non-immigrant,Divorced/widowed,0.0,23.0,,High school,Service Occupations,1310.0,Health doesn't affect work,360
Female,34,1945,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,24.0,28.0,High school,,0.0,Health doesn't affect work,361
Male,23,1956,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,"Operators, Fabricators, and Laborers",5215.0,Health doesn't affect work,362
Female,39,1940,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,6.0,16.0,19.0,High school,,3130.0,Health doesn't affect work,363
Male,20,1959,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,"Operators, Fabricators, and Laborers",3045.0,Health doesn't affect work,364
Male,10,1969,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,365
Female,41,1939,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,30.0,35.0,High school,,0.0,Health doesn't affect work,366
Female,43,1936,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,22.0,27.0,College and above,Professional Specialty Occupations,14585.0,Health doesn't affect work,367
Female,4,1975,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,368
Female,10,1970,Hispanic,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,369
Male,51,1928,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,0.0,21.0,,Less than high school,,0.0,Health doesn't affect work,370
Male,0,1979,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,371
Male,37,1942,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,24.0,26.0,College and above,Sales Occupations,14510.0,Health doesn't affect work,372
Male,14,1966,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,373
Male,19,1960,Black,Non-immigrant,Single,0.0,,,High school,Military Occupations,21005.0,Health doesn't affect work,374
Male,71,1908,Black,Non-immigrant,Married,0.0,60.0,,High school,,690.0,Health doesn't affect work,375
Female,55,1924,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,23.0,,High school,,0.0,Health doesn't affect work,376
Male,15,1965,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,0.0,Health doesn't affect work,377
Female,30,1949,Black,Non-immigrant,Married,2.0,14.0,27.0,Less than high school,Service Occupations,6005.0,Health doesn't affect work,378
Female,7,1972,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,379
Female,8,1971,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,380
Female,47,1933,Hispanic,Non-immigrant,Married,4.0,16.0,34.0,Less than high school,"Operators, Fabricators, and Laborers",4005.0,Health doesn't affect work,381
Male,8,1972,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,382
Female,19,1961,Black,Non-immigrant,Single,0.0,,,High school,Clerical and Administrative Support Occupations,355.0,Health doesn't affect work,383
Male,67,1912,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,22.0,,High school,,19810.0,Health doesn't affect work,384
Male,17,1962,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Service Occupations,465.0,Health doesn't affect work,385
Male,21,1958,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,"Operators, Fabricators, and Laborers",11965.0,Health doesn't affect work,386
Female,6,1973,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,387
Female,20,1959,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,19.0,,College and above,Service Occupations,835.0,Health doesn't affect work,388
Male,34,1945,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,19.0,,College and above,"Operators, Fabricators, and Laborers",9125.0,Health doesn't affect work,389
Female,13,1966,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,390
Male,3,1977,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,391
Female,53,1926,"Non-Black, Non-Hispanic",Immigrant,Married,2.0,23.0,32.0,High school,Clerical and Administrative Support Occupations,17005.0,Health doesn't affect work,392
