gender,age,birth_year,race,immigrant_status,marital_status,child_number,age_first_childbirth,education,occupation,income,profile_id
Male,40.0,1978.0,Hispanic,Immigrant,Married,2.0,19.0,Less than high school,"Natural resources, construction, and maintenance occupations",,52
Female,21.0,1997.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,College and above,Service occupations,,53
Female,59.0,1959.0,"Non-Black, Non-Hispanic",Immigrant,Married,4.0,19.0,High school,"Management, professional, and related occupations",,54
Female,55.0,1963.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,3.0,24.0,High school,Sales and office occupations,,55
Female,28.0,1990.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,3.0,20.0,High school,"Management, professional, and related occupations",,56
Female,49.0,1969.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,,College and above,"Management, professional, and related occupations",,57
Female,48.0,1970.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,30.0,College and above,"Management, professional, and related occupations",,58
Male,39.0,1979.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,24.0,High school,Service occupations,,59
Female,62.0,1956.0,"Non-Black, Non-Hispanic",Immigrant,Divorced/widowed,2.0,24.0,College and above,"Management, professional, and related occupations",,60
Female,71.0,1947.0,Hispanic,Immigrant,Married,2.0,27.0,High school,"Production, transportation, and material moving occupations",,61
Male,29.0,1989.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,College and above,Military Occupations,,62
Male,37.0,1981.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,27.0,High school,Sales and office occupations,,63
Male,31.0,1987.0,"Non-Black, Non-Hispanic",Immigrant,Married,0.0,,College and above,"Production, transportation, and material moving occupations",,64
Female,42.0,1976.0,Black,Non-immigrant,Single,3.0,18.0,College and above,Sales and office occupations,,65
Male,88.0,1930.0,Black,Non-immigrant,Divorced/widowed,6.0,24.0,High school,Service occupations,,66
Male,31.0,1987.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,College and above,Service occupations,,67
Male,58.0,1960.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,,College and above,Service occupations,,68
Male,64.0,1954.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,31.0,College and above,"Natural resources, construction, and maintenance occupations",,69
Male,44.0,1974.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,21.0,College and above,"Management, professional, and related occupations",,70
Female,38.0,1980.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,26.0,College and above,Service occupations,,71
Male,34.0,1984.0,Hispanic,Non-immigrant,Married,1.0,33.0,College and above,"Management, professional, and related occupations",,72
Female,86.0,1932.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,2.0,30.0,College and above,"Management, professional, and related occupations",,73
Male,32.0,1986.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,1.0,21.0,High school,"Production, transportation, and material moving occupations",,74
Female,23.0,1995.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,College and above,Service occupations,,75
Female,63.0,1955.0,Black,Non-immigrant,Married,3.0,27.0,College and above,"Management, professional, and related occupations",,76
Male,26.0,1992.0,Hispanic,Non-immigrant,Single,1.0,25.0,High school,"Natural resources, construction, and maintenance occupations",,77
Female,44.0,1974.0,Black,Non-immigrant,Single,6.0,17.0,College and above,"Production, transportation, and material moving occupations",,78
Female,22.0,1996.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,2.0,19.0,High school,Sales and office occupations,,79
Female,44.0,1974.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,0.0,,College and above,"Management, professional, and related occupations",,80
Female,42.0,1976.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,30.0,College and above,"Management, professional, and related occupations",,81
Female,32.0,1986.0,"Non-Black, Non-Hispanic",Immigrant,Married,0.0,,College and above,"Management, professional, and related occupations",,82
Male,89.0,1929.0,Black,Non-immigrant,Married,4.0,22.0,College and above,"Natural resources, construction, and maintenance occupations",,83
Female,60.0,1958.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,College and above,Sales and office occupations,,84
Female,37.0,1981.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,24.0,High school,"Management, professional, and related occupations",,85
Female,40.0,1978.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,30.0,College and above,"Management, professional, and related occupations",,86
Male,42.0,1976.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,34.0,College and above,"Management, professional, and related occupations",,87
Male,65.0,1953.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,23.0,High school,Service occupations,,88
Female,61.0,1957.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,3.0,18.0,College and above,Sales and office occupations,,89
Male,89.0,1929.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,5.0,19.0,Less than high school,Service occupations,,90
Female,55.0,1963.0,"Non-Black, Non-Hispanic",Immigrant,Divorced/widowed,1.0,24.0,College and above,Sales and office occupations,,91
Male,51.0,1967.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,2.0,21.0,College and above,"Production, transportation, and material moving occupations",,92
Female,29.0,1989.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,23.0,College and above,"Management, professional, and related occupations",,93
Female,56.0,1962.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,22.0,High school,Sales and office occupations,,94
Female,53.0,1965.0,Black,Immigrant,Married,5.0,22.0,High school,Service occupations,,95
Male,48.0,1970.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,1.0,25.0,High school,Service occupations,,96
Female,61.0,1957.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,4.0,19.0,High school,"Management, professional, and related occupations",,97
Female,28.0,1990.0,"Non-Black, Non-Hispanic",Immigrant,Married,0.0,,College and above,"Management, professional, and related occupations",,98
Female,75.0,1943.0,Black,Non-immigrant,Divorced/widowed,2.0,21.0,High school,Unemployed,,99
Female,40.0,1978.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,31.0,College and above,"Management, professional, and related occupations",,100
Female,39.0,1979.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,High school,Sales and office occupations,,101
Female,75.0,1943.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,3.0,22.0,High school,"Management, professional, and related occupations",,102
Female,61.0,1957.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,4.0,22.0,High school,"Management, professional, and related occupations",,103
Female,65.0,1953.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,2.0,27.0,College and above,Sales and office occupations,,104
Male,65.0,1953.0,Black,Non-immigrant,Married,2.0,22.0,College and above,"Production, transportation, and material moving occupations",,105
Female,53.0,1965.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,25.0,College and above,"Management, professional, and related occupations",,106
Male,51.0,1967.0,Hispanic,Non-immigrant,Divorced/widowed,6.0,21.0,College and above,Sales and office occupations,,107
Female,41.0,1977.0,Black,Non-immigrant,Married,3.0,17.0,College and above,"Management, professional, and related occupations",,108
Male,71.0,1947.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,20.0,College and above,"Natural resources, construction, and maintenance occupations",,109
Female,74.0,1944.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,3.0,22.0,High school,Sales and office occupations,,110
Female,39.0,1979.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,2.0,22.0,College and above,"Management, professional, and related occupations",,111
Female,89.0,1929.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,3.0,23.0,College and above,"Management, professional, and related occupations",,112
Male,77.0,1941.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,6.0,19.0,High school,"Management, professional, and related occupations",,113
Male,85.0,1933.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,4.0,20.0,High school,Service occupations,,114
Female,39.0,1979.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,22.0,College and above,Service occupations,,115
Female,39.0,1979.0,Hispanic,Non-immigrant,Married,2.0,28.0,College and above,Sales and office occupations,,116
Female,88.0,1930.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,4.0,18.0,High school,"Management, professional, and related occupations",,117
Female,80.0,1938.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,5.0,20.0,College and above,"Management, professional, and related occupations",,118
Female,31.0,1987.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,19.0,College and above,"Management, professional, and related occupations",,119
Female,56.0,1962.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,1.0,45.0,High school,Sales and office occupations,,120
Male,53.0,1965.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,21.0,College and above,"Management, professional, and related occupations",,121
Female,28.0,1990.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,17.0,High school,Service occupations,,122
Female,23.0,1995.0,Black,Non-immigrant,Single,1.0,20.0,College and above,Service occupations,,123
Female,21.0,1997.0,Black,Immigrant,Single,0.0,,High school,Unemployed,,124
Female,71.0,1947.0,Hispanic,Non-immigrant,Divorced/widowed,1.0,40.0,College and above,"Management, professional, and related occupations",,125
Male,60.0,1958.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,College and above,"Production, transportation, and material moving occupations",,126
Female,70.0,1948.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,23.0,High school,"Management, professional, and related occupations",,127
Male,38.0,1980.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,23.0,High school,"Natural resources, construction, and maintenance occupations",,128
Female,53.0,1965.0,Hispanic,Immigrant,Divorced/widowed,3.0,18.0,High school,"Production, transportation, and material moving occupations",,129
Male,32.0,1986.0,"Non-Black, Non-Hispanic",Immigrant,Single,0.0,,College and above,"Management, professional, and related occupations",,130
Male,20.0,1998.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,College and above,Service occupations,,131
Female,24.0,1994.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,College and above,"Management, professional, and related occupations",,132
Male,69.0,1949.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,2.0,32.0,High school,"Production, transportation, and material moving occupations",,133
Male,33.0,1985.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,High school,"Natural resources, construction, and maintenance occupations",,134
Male,52.0,1966.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,1.0,26.0,College and above,"Natural resources, construction, and maintenance occupations",,135
Female,27.0,1991.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,College and above,"Management, professional, and related occupations",,136
Female,78.0,1940.0,Black,Non-immigrant,Divorced/widowed,4.0,21.0,High school,Service occupations,,137
Female,74.0,1944.0,Black,Non-immigrant,Divorced/widowed,4.0,25.0,College and above,"Management, professional, and related occupations",,138
Female,30.0,1988.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,,College and above,"Management, professional, and related occupations",,139
Female,55.0,1963.0,Hispanic,Immigrant,Married,5.0,22.0,Less than high school,Service occupations,,140
Male,47.0,1971.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,2.0,17.0,High school,"Production, transportation, and material moving occupations",,141
Female,20.0,1998.0,Black,Non-immigrant,Single,0.0,,College and above,Service occupations,,142
Female,63.0,1955.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,College and above,"Management, professional, and related occupations",,143
Male,36.0,1982.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,24.0,College and above,"Management, professional, and related occupations",,144
Female,37.0,1981.0,Hispanic,Immigrant,Divorced/widowed,1.0,32.0,College and above,"Management, professional, and related occupations",,145
Female,63.0,1955.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,0.0,,College and above,"Management, professional, and related occupations",,146
Female,70.0,1948.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,21.0,High school,Sales and office occupations,,147
Male,76.0,1942.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,4.0,21.0,College and above,Service occupations,,148
Male,56.0,1962.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,26.0,College and above,"Management, professional, and related occupations",,149
Male,21.0,1997.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,High school,Sales and office occupations,,150
Male,49.0,1969.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,3.0,29.0,College and above,"Management, professional, and related occupations",,151
Female,33.0,1985.0,Black,Non-immigrant,Married,3.0,17.0,College and above,"Management, professional, and related occupations",,152
Female,75.0,1943.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,24.0,High school,Sales and office occupations,,153
Female,51.0,1967.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,28.0,College and above,"Management, professional, and related occupations",,154
Female,39.0,1979.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,26.0,High school,Service occupations,,155
Male,66.0,1952.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,,College and above,"Management, professional, and related occupations",,156
Female,50.0,1968.0,Black,Non-immigrant,Divorced/widowed,5.0,19.0,High school,"Management, professional, and related occupations",,157
Female,69.0,1949.0,Black,Non-immigrant,Married,1.0,17.0,College and above,Service occupations,,158
Male,70.0,1948.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,1.0,22.0,College and above,Sales and office occupations,,159
Male,28.0,1990.0,Black,Non-immigrant,Single,0.0,,College and above,"Natural resources, construction, and maintenance occupations",,160
Male,64.0,1954.0,"Non-Black, Non-Hispanic",Immigrant,Married,3.0,18.0,College and above,"Management, professional, and related occupations",,161
Male,48.0,1970.0,"Non-Black, Non-Hispanic",Immigrant,Married,1.0,40.0,College and above,"Management, professional, and related occupations",,162
Female,70.0,1948.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,35.0,College and above,"Management, professional, and related occupations",,163
Male,75.0,1943.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,2.0,24.0,College and above,Sales and office occupations,,164
Female,43.0,1975.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,College and above,Service occupations,,165
Female,69.0,1949.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,4.0,21.0,College and above,"Production, transportation, and material moving occupations",,166
Female,39.0,1979.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,23.0,College and above,Service occupations,,167
Female,37.0,1981.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,20.0,High school,"Management, professional, and related occupations",,168
Female,45.0,1973.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,4.0,21.0,College and above,"Management, professional, and related occupations",,169
Male,33.0,1985.0,Black,Non-immigrant,Single,1.0,25.0,High school,Service occupations,,170
Male,36.0,1982.0,Hispanic,Non-immigrant,Married,3.0,19.0,College and above,"Natural resources, construction, and maintenance occupations",,171
Female,60.0,1958.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,23.0,College and above,Sales and office occupations,,172
Female,31.0,1987.0,Black,Non-immigrant,Single,0.0,,College and above,Service occupations,,173
Male,33.0,1985.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,24.0,High school,"Natural resources, construction, and maintenance occupations",,174
Female,51.0,1967.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,College and above,"Management, professional, and related occupations",,175
